16:23:42 Server load: FPS 46, memory used: 2091 MB, out: 22654 Kbps, in: 607 Kbps, NG:0, G:6468, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:0, G:97, D:0)
16:23:47 Server load: FPS 46, memory used: 2091 MB, out: 23209 Kbps, in: 617 Kbps, NG:0, G:392, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:0, G:97, D:0)
16:23:52 Server load: FPS 46, memory used: 2092 MB, out: 19197 Kbps, in: 542 Kbps, NG:0, G:8722, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:0, G:97, D:0)
16:23:57 Server load: FPS 46, memory used: 2092 MB, out: 19910 Kbps, in: 816 Kbps, NG:0, G:12842, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:0, G:97, D:0)
16:24:02 Server load: FPS 46, memory used: 2107 MB, out: 20866 Kbps, in: 886 Kbps, NG:0, G:20196, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:1, G:97, D:0)
16:24:07 Server load: FPS 46, memory used: 2106 MB, out: 22286 Kbps, in: 663 Kbps, NG:0, G:6728, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:1, G:97, D:0)
16:24:12 Server load: FPS 46, memory used: 2106 MB, out: 22057 Kbps, in: 541 Kbps, NG:0, G:6534, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:1, G:97, D:0)
16:24:17 Server load: FPS 46, memory used: 2112 MB, out: 26229 Kbps, in: 573 Kbps, NG:0, G:40, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:1, G:97, D:0)
16:24:22 Server load: FPS 47, memory used: 2112 MB, out: 30915 Kbps, in: 593 Kbps, NG:0, G:76567, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:1, G:97, D:0)
16:24:28 Server load: FPS 47, memory used: 2094 MB, out: 26083 Kbps, in: 568 Kbps, NG:0, G:6576, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:1, G:97, D:0)
