16:00:03 Initializing stats manager.
16:00:03 Stats config disabled.
16:07:20 [KPLIB] [STATS] Hattori - FPS: 3.35 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 25, execVM: 24, exec: 0, execFSM: 2]
16:07:21 [KPLIB] [STATS] Prairie - FPS: 53.16 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 6, execVM: 22, exec: 0, execFSM: 3]
16:07:22 [KPLIB] [STATS] Tecnicus - FPS: 58.39 - Local groups: 2 - Local units: 3 - Active Scripts: [spawn: 18, execVM: 22, exec: 0, execFSM: 3]
16:07:23 [KPLIB] [STATS] ThomasMcCloudy - FPS: 59.48 - Local groups: 2 - Local units: 3 - Active Scripts: [spawn: 10, execVM: 22, exec: 0, execFSM: 3]
16:07:26 [KPLIB] [STATS] Kingo - FPS: 26.23 - Local groups: 0 - Local units: 1 - Active Scripts: [spawn: 14, execVM: 22, exec: 0, execFSM: 3]
16:07:27 [KPLIB] [STATS] Cpl.Baker - FPS: 38.74 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 18, execVM: 22, exec: 0, execFSM: 3]
16:07:29 [KPLIB] [STATS] topgunajw - FPS: 58.82 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 17, execVM: 22, exec: 0, execFSM: 3]
16:07:31 [KPLIB] [STATS] Soju - FPS: 123.08 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 7, execVM: 21, exec: 0, execFSM: 2]
16:07:35 [KPLIB] [STATS] Zook3r - FPS: 60.61 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 27, execVM: 26, exec: 0, execFSM: 2]
16:07:35 [KPLIB] [STATS] Tilly - FPS: 43.84 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 15, execVM: 22, exec: 0, execFSM: 3]
16:07:36 [KPLIB] [STATS] chkn - FPS: 37.12 - Local groups: 0 - Local units: 1 - Active Scripts: [spawn: 16, execVM: 22, exec: 0, execFSM: 3]
16:07:38 [KPLIB] [STATS] ODDBALL - FPS: 38.55 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 20, execVM: 22, exec: 0, execFSM: 3]
16:07:39 [KPLIB] [STATS] Krishiv - FPS: 3.85 - Local groups: 2 - Local units: 1 - Active Scripts: [spawn: 29, execVM: 24, exec: 0, execFSM: 2]
16:07:39 [KPLIB] [STATS] neuro - FPS: 66.12 - Local groups: 0 - Local units: 1 - Active Scripts: [spawn: 15, execVM: 21, exec: 0, execFSM: 2]
16:07:40 [KPLIB] [STATS] Spoomns - FPS: 80.4 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 6, execVM: 22, exec: 0, execFSM: 3]
16:07:41 [KPLIB] [STATS] BoogerShuga - FPS: 56.74 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 8, execVM: 21, exec: 0, execFSM: 3]
16:07:42 [KPLIB] [STATS] Banana - FPS: 49.23 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 17, execVM: 22, exec: 0, execFSM: 3]
