,Server Time,Server FPS,RAM [MB],out [Kbps],in [Kbps],Non-G Messages,Guaranteed Messages,BE-NG,BE-G,Player Count
347,2021-05-09 16:42:45,48,2198,20163,774,0,46,0,0,98
348,2021-05-09 16:42:50,48,2199,17365,779,0,0,0,0,98
349,2021-05-09 16:42:55,47,2203,23117,806,0,0,0,0,98
350,2021-05-09 16:43:00,48,2203,16880,739,0,0,0,0,98
351,2021-05-09 16:43:05,48,2203,19435,753,0,10,0,0,98
352,2021-05-09 16:43:10,47,2223,36988,896,0,18117,0,0,98
353,2021-05-09 16:43:15,48,2220,19191,833,0,14553,0,0,98
354,2021-05-09 16:43:20,46,2219,20458,920,0,1198,0,0,98
355,2021-05-09 16:43:25,48,2218,20582,869,0,455,0,0,98
356,2021-05-09 16:43:30,47,2218,22670,918,0,2376,0,0,98
357,2021-05-09 16:43:35,48,2216,17742,862,0,6483,0,0,98
358,2021-05-09 16:43:40,47,2232,18312,864,0,0,0,0,98
359,2021-05-09 16:43:45,48,2232,17897,849,0,20247,0,0,98
360,2021-05-09 16:43:50,47,2236,22768,882,0,56846,0,0,98
361,2021-05-09 16:43:55,38,2269,45538,992,0,5971,0,0,98
362,2021-05-09 16:44:00,45,2258,33472,978,0,10,0,0,98
363,2021-05-09 16:44:05,48,2254,20107,863,0,392,0,0,98
364,2021-05-09 16:44:10,47,2258,21338,857,0,28908,0,0,98
365,2021-05-09 16:44:15,47,2253,19918,902,0,33040,0,0,98
366,2021-05-09 16:44:20,47,2256,21599,895,0,0,0,0,98
367,2021-05-09 16:44:25,47,2261,19185,891,0,51,0,0,98
368,2021-05-09 16:44:31,34,2294,41983,1243,0,21204,0,0,98
369,2021-05-09 16:44:36,41,2292,25088,1207,0,13068,0,0,98
370,2021-05-09 16:44:41,40,2295,27151,1152,0,6534,0,0,98
371,2021-05-09 16:44:46,42,2292,24249,1137,0,6633,0,0,98
372,2021-05-09 16:44:51,39,2297,27518,1224,0,35053,0,0,98
373,2021-05-09 16:44:56,40,2299,25810,1225,0,20,0,0,98
374,2021-05-09 16:45:01,39,2300,27309,1236,0,6608,0,0,98
375,2021-05-09 16:45:06,38,2299,27862,1181,0,10,0,0,98
376,2021-05-09 16:45:11,38,2302,28335,1233,0,7436,0,0,98
377,2021-05-09 16:45:16,36,2304,29794,1241,0,0,0,0,98
378,2021-05-09 16:45:21,35,2306,29215,1238,5643,56611,0,0,98
379,2021-05-09 16:45:26,35,2308,32538,1238,0,8514,0,0,98
380,2021-05-09 16:45:31,37,2304,30714,1260,0,18176,0,0,98
